RecordKey	SurveyKey	SampleKey	StartDate	EndDate	DateType	Date	TaxonVersionKey	TaxonName	GridReference	East	North	Projection	Precision	SiteKey	SiteName	Recorder	Determiner	ZeroAbundance	UnderValidation	ImagePath	County	Vice-county	Habitat description	Abundance	Sex	Max depth of survey(m)	Dive position derived from	Types of seabed present	Seabed cover types	Sampling method	Survey name
23640212257315919			22/03/2014	22/03/2014	D	22/03/2014	NBNSYS0000188637	Platichthys flesus	D034451	303450	445150	OSI	100		Causeway coast	Alastair Marsden		False	False		Antrim	Antrim		1							
23640212257315920			22/03/2014	22/03/2014	D	22/03/2014	NBNSYS0000177329	Pollachius virens	D034451	303450	445150	OSI	100		Causeway coast	Alastair Marsden		False	False		Antrim	Antrim		1							
23640212257315921			22/03/2014	22/03/2014	D	22/03/2014	NBNSYS0000177540	Psetta maxima	D034451	303450	445150	OSI	100		Causeway coast	Alastair Marsden		False	False		Antrim	Antrim		2							
23640212257315922			22/03/2014	22/03/2014	D	22/03/2014	NBNSYS0000188607	Salmo trutta	D034451	303450	445150	OSI	100		Causeway coast	Alastair Marsden		False	False		Antrim	Antrim		1							
23640212257315923			13/03/2014	13/03/2014	D	13/03/2014	NBNSYS0000188622	Dicentrarchus labrax	C112419	211250	441950	OSI	100		North west Donegal	Alastair Marsden		False	False		Donegal			1							
23640212257315924			13/03/2014	13/03/2014	D	13/03/2014	NBNSYS0000188637	Platichthys flesus	C112419	211250	441950	OSI	100		North west Donegal	Alastair Marsden		False	False		Donegal			7							
23640212257315925			13/03/2014	13/03/2014	D	13/03/2014	NBNSYS0000177329	Pollachius virens	C112419	211250	441950	OSI	100		North west Donegal	Alastair Marsden		False	False		Donegal			5							
23640212257315926			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000188809	Sargassum muticum	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315927			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000188809	Sargassum muticum	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315928			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000174132	Bispira volutacornis	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315929			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000176176	Lipophrys pholis	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315930			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000176970	Parablennius gattorugine	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315931			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000177328	Pollachius pollachius	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315932			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000177540	Psetta maxima	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315933			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000173820	Anemonia viridis	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315934			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000178591	Urticina felina	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315935			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000175402	Galathea strigosa	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315936			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000188514	Homarus gammarus	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315937			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000176651	Necora puber	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
23640212257315938			21/09/2014	21/09/2014	D	21/09/2014	NBNSYS0000176942	Palaemon serratus	W667469	166750	46950	OSI	100		Hangman's Point, Kinsale, Co. Cork	Anne Ferguson		False	False		Cork		Sedimentary sea cliffs								
