Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18753456506.5708,18053222734.8881,18799444414.5998,19955929060.841,14266499429.8746
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,1285460326500,1327690394700,1469596303300,1534966000000,1251172000000
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,526.140801271383,492.090632280226,497.741429257502,512.055098228687,355.777826392648
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,36064.4516892291,36189.8822938527,38909.6054279142,39386.1475209399,31201.7153746352
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,1353431599992.55,1369526989278.05,1423097453820.57,1389639000000,1101444000000
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,20084646855.8018,20323499125.6969,21118473812.444,20621957232.4181,16345202647.5247
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,37971.4313591516,37330.2546573188,37678.4837368526,35657.1589565185,27467.7999420541
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,563.488239421983,553.973308908649,559.140956898688,529.144912477888,407.616507361737
Afghanistan,AFG,"Population, total",SP.POP.TOTL,35643418,36686784,37769499,38972230,40099462
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,54.6485411587937,56.2482314520951,57.9082516903546,59.7522806371985,61.4805544056544
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,13019726211.7369,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176
Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,1550645485900,1636729604100,1691903429800,1647431071400,1856172101100
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4531.03220675893,5287.66080067575,5396.2142432843,5343.0377039956,6377.20309553753
Albania,ALB,GDP per capita (current LCU),NY.GDP.PCAP.CN,539644.576515326,571010.085243527,592778.629671245,580521.046539122,660168.064450045
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,1452767583700,1511159333900,1542707988600,1491766505200,1624660939300
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12211675169.6845,12702504600.374,12967696312.7715,12539492342.004,13656576505.5665
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,505581.807453531,527202.060685688,540506.220011205,525668.03420478,577828.568293674
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4249.8200493985,4431.55559506989,4543.38771048312,4418.66087378292,4857.11194201819
Albania,ALB,"Population, total",SP.POP.TOTL,2873457,2866376,2854191,2837849,2811666
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.870693430657,104.612262773723,104.167554744526,103.571131386861,102.615547445255
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,170096988531.906,174910684781.571,171760275466.61,145743542982.628,163472387986.768
Algeria,DZA,GDP (current LCU),NY.GDP.MKTP.CN,18876176000000,20393500000000,20500200000000,18476900000000,22079300000000
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4134.93608656171,4171.79038755546,4021.9832660524,3354.15316371593,3700.31469728198
Algeria,DZA,GDP per capita (current LCU),NY.GDP.PCAP.CN,458866.332627926,486404.860714241,480038.013019815,425228.804805781,499780.784399573
Algeria,DZA,GDP (constant LCU),NY.GDP.MKTP.KN,18751266734000,18976281935000,19166044754000,18188576472000,18806988072000
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,173517337342.624,175599545392.513,177355540843.199,168310408264.397,174032962144.942
Algeria,DZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,455829.877744233,452602.827933795,448797.086914226,418593.304845895,425709.657951908
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4218.0823188856,4188.22038483483,4153.00345481624,3873.50874565769,3939.36086434716
Algeria,DZA,"Population, total",SP.POP.TOTL,41136546,41927007,42705368,43451666,44177969
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.2716286111714,17.6035123046545,17.9303156808402,18.2436570559099,18.5486033116111
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,612000000,639000000,647000000,721000000,750000000
American Samoa,ASM,GDP (current LCU),NY.GDP.MKTP.CN,612000000,639000000,647000000,721000000,750000000
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,12372.8847825647,13195.9358995539,13672.576657298,15609.7772196843,16653.7137781725
American Samoa,ASM,GDP per capita (current LCU),NY.GDP.PCAP.CN,12372.8847825647,13195.9358995539,13672.576657298,15609.7772196843,16653.7137781725
American Samoa,ASM,GDP (constant LCU),NY.GDP.MKTP.KN,599000000,615000000,612000000,639000000,634000000
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,615461068.70229,631900763.358779,628818320.610687,656560305.343511,651422900.763359
American Samoa,ASM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12110.0620665952,12700.3138939369,12932.9473172587,13834.4627508714,14077.9393804818
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12442.8576653719,13049.3301536176,13288.3565565116,14214.6464600557,14464.8140504798
American Samoa,ASM,"Population, total",SP.POP.TOTL,49463,48424,47321,46189,45035
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,247.315,242.12,236.605,230.945,225.175
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3000160414.63795,3218418631.67579,3155150255.91195,2891002460.29153,3325143693.28714
Andorra,AND,GDP (current LCU),NY.GDP.MKTP.CN,2655760000,2725270000,2818420000,2531090000,2811000000
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40632.2089824607,42904.8115883352,41328.6123929102,37207.2388711909,42072.3194231234
Andorra,AND,GDP per capita (current LCU),NY.GDP.PCAP.CN,35967.8751845281,36330.6360230893,36917.8575638893,32575.1608751609,35566.9711769618
Andorra,AND,GDP (constant LCU),NY.GDP.MKTP.KN,2580620000,2621620000,2674460000,2375350000,2572200000
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2903391399.65727,2949519480.26811,3008968450.49925,2672447226.31612,2893918267.005
Andorra,AND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,34950.2282053713,34948.8755282418,35032.1574997053,30570.7850707851,32545.4867525369
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39321.632781089,39320.1109176824,39413.8093931238,34394.4301971186,36616.117961953
Andorra,AND,"Population, total",SP.POP.TOTL,73837,75013,76343,77700,79034
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,157.1,159.602127659574,162.431914893617,165.31914893617,168.157446808511
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,73690155046.555,79450688232.0011,70897962712.6213,48501561230.001,66505129989.243
Angola,AGO,GDP (current LCU),NY.GDP.MKTP.CN,20262296000000,25627742000000,30330429000000,31700771000000,44535941000000
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2439.37444118796,2540.50887797043,2191.34776373555,1450.90511218489,1927.47407832091
Angola,AGO,GDP per capita (current LCU),NY.GDP.PCAP.CN,670745.324812501,819470.636720194,937467.244745776,948316.085867604,1290755.64313631
Angola,AGO,GDP (constant LCU),NY.GDP.MKTP.KN,1579733000000,1558938000000,1547990000000,1460711000000,1478228000000
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,88031782810.7052,86872966147.6687,86262880798.9347,81399194358.2922,82375342061.4136
Angola,AGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,52294.0995532799,49848.4773050745,47846.0070641933,43696.5945750579,42842.5018086427
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2914.12714310313,2777.84304535304,2666.2539190069,2435.02485749107,2387.42991017196
Angola,AGO,"Population, total",SP.POP.TOTL,30208628,31273533,32353588,33428486,34503774
