ID,Class
750,Mitchell
751,Bukowsky
752,Grove
753,Mahlers2nd
754,Corn
755,Chell
756,Peterson
757,Mark
758,Corn
759,Davisson
760,Comdet
761,Johnson
762,Dent
763,Lawyeraau
764,Hayes
765,Harp
766,Peterson
767,Cutey
768,Mark
769,Johnson
770,Corn
771,Engineer
772,Cholette
773,Bukowsky
774,Bukowsky
775,Chandler
776,Janson
777,Cutey
778,Ashbacher
779,Comdet
780,Sherwin
781,Lee
782,Merritt
783,Chell
784,McKee
785,Power
786,Comdet
787,Harp
788,Comdet
789,McKee
790,Neal
791,Kolln
792,Neal
793,Grove
794,Blankenship
795,Johnson
796,Harp
797,Neal
798,Lawyeraau
799,Peterson
800,Riley
801,Sherwin
802,Comdet
803,Taylor
804,Taylor
805,Mahlers2nd
806,Power
807,Calvinnme
808,Agresti
809,Power
810,Harp
811,Engineer
812,Auken
813,Blankenship
814,Chandler
815,Sherwin
816,Dent
817,Walters
818,Cholette
819,Peterson
820,Cutey
821,Calvinnme
822,Wilson
823,Sherwin
824,Grove
825,Brown
826,Mark
827,Merritt
828,Power
829,Chachra
830,Ashbacher
831,Goonan
832,CFH
833,Morrison
834,Harp
835,Mahlers2nd
836,Grove
837,Goonan
838,Agresti
839,Peterson
840,Johnson
841,Taylor
842,Janson
843,Riley
844,Grove
845,Dent
846,Chandler
847,Chachra
848,Neal
849,Lee
850,Koenig
851,Messick
852,Johnson
853,Merritt
854,Mitchell
855,Hayes
856,Brody
857,Wilson
858,Vernon
859,Goonan
860,Calvinnme
861,Taylor
862,Koenig
863,Hayes
864,Merritt
865,Blankenship
866,Mahlers2nd
867,Engineer
868,Davisson
869,Janson
870,Brown
871,Mahlers2nd
872,Corn
873,Dent
874,Mahlers2nd
875,Taylor
876,Engineer
877,Davisson
878,Wilson
879,Davisson
880,Hayes
881,Chachra
882,Power
883,Kolln
884,Vernon
885,Koenig
886,Morrison
887,Janson
888,Walters
889,Vernon
890,Harp
891,Harp
892,Vision
893,Mark
894,Vernon
895,Vernon
896,Ashbacher
897,Hayes
898,Messick
899,Chell
900,Taylor
901,Hayes
902,Brown
903,Power
904,Messick
905,Chachra
906,Chandler
907,Cholette
908,Agresti
909,Auken
910,Vision
911,Cutey
912,Ashbacher
913,Wilson
914,Riley
915,Blankenship
916,Harp
917,Shea
918,Koenig
919,Davisson
920,Grove
921,Davisson
922,Engineer
923,Goonan
924,Harp
925,Kolln
926,Wilson
927,Goonan
928,Ashbacher
929,Chachra
930,Taylor
931,Hayes
932,Sherwin
933,Cholette
934,McKee
935,CFH
936,Sherwin
937,Ashbacher
938,Taylor
939,Mahlers2nd
940,Blankenship
941,Sherwin
942,Brown
943,Comdet
944,Chandler
945,Sherwin
946,Vision
947,Janson
948,Mitchell
949,Mahlers2nd
950,Merritt
951,Dent
952,Koenig
953,Davisson
954,Merritt
955,Cholette
956,Grove
957,Johnson
958,Neal
959,Cutey
960,Chandler
961,Goonan
962,Janson
963,CFH
964,Wilson
965,Koenig
966,Mitchell
967,Robert
968,Grove
969,Morrison
970,Cutey
971,Power
972,Chell
973,Power
974,Brody
975,Bukowsky
976,Engineer
977,McKee
978,Brown
979,Chell
980,McKee
981,Wilson
982,Johnson
983,Auken
984,Brown
985,Auken
986,Chachra
987,Calvinnme
988,Brody
989,McKee
990,Vernon
991,Mitchell
992,Davisson
993,Chachra
994,Cutey
995,Davisson
996,Agresti
997,Calvinnme
998,Bukowsky
999,Riley
1000,Cutey
1001,Robert
1002,Auken
1003,McKee
1004,Mark
1005,Chell
1006,Riley
1007,Davisson
1008,Comdet
1009,Messick
1010,Chandler
1011,Robert
1012,Sherwin
1013,Chachra
1014,Vernon
1015,Comdet
1016,Power
1017,Agresti
1018,Walters
1019,Davisson
1020,Chandler
1021,Comdet
1022,Chachra
1023,Comdet
1024,Bukowsky
1025,Chachra
1026,Riley
1027,Janson
1028,Dent
1029,Harp
1030,Davisson
1031,Cutey
1032,Walters
1033,Corn
1034,Johnson
1035,Morrison
1036,Ashbacher
1037,Neal
1038,Messick
1039,Mahlers2nd
1040,Morrison
1041,Ashbacher
1042,Wilson
1043,Shea
1044,Chell
1045,Auken
1046,Merritt
1047,Brown
1048,Davisson
1049,Wilson
1050,Chachra
1051,Auken
1052,Agresti
1053,Vernon
1054,Chachra
1055,Brown
1056,Bukowsky
1057,Vision
1058,Bukowsky
1059,Mark
1060,Engineer
1061,Lawyeraau
1062,Blankenship
1063,Goonan
1064,Messick
1065,Brody
1066,Vernon
1067,Bukowsky
1068,Vernon
1069,Goonan
1070,CFH
1071,Mitchell
1072,Mahlers2nd
1073,Merritt
1074,Corn
1075,Vernon
1076,Power
1077,Cutey
1078,Taylor
1079,Grove
1080,Lawyeraau
1081,Comdet
1082,Dent
1083,Mitchell
1084,Bukowsky
1085,Davisson
1086,Shea
1087,Lawyeraau
1088,Calvinnme
1089,Mahlers2nd
1090,Agresti
1091,Janson
1092,Davisson
1093,Davisson
1094,Messick
1095,Engineer
1096,Lawyeraau
1097,Mark
1098,Janson
1099,Mahlers2nd
1100,Kolln
1101,Koenig
1102,Brown
1103,Taylor
1104,Kolln
1105,Agresti
1106,CFH
1107,Ashbacher
1108,Ashbacher
1109,Agresti
1110,Mitchell
1111,Harp
1112,Wilson
1113,Chell
1114,Lawyeraau
1115,Auken
1116,Blankenship
1117,Goonan
1118,Shea
1119,Brody
1120,Neal
1121,Engineer
1122,Robert
1123,Brown
1124,Engineer
1125,Morrison
1126,Vision
1127,Koenig
1128,Neal
1129,Mahlers2nd
1130,Chell
1131,Harp
1132,Ashbacher
1133,Chachra
1134,Agresti
1135,Neal
1136,Davisson
1137,Shea
1138,Vernon
1139,Kolln
1140,Blankenship
1141,Chell
1142,Shea
1143,Cholette
1144,Robert
1145,Vision
1146,Agresti
1147,Calvinnme
1148,Wilson
1149,Peterson
1150,Vernon
1151,Johnson
1152,Auken
1153,Chandler
1154,Power
1155,Vernon
1156,Messick
1157,Robert
1158,Bukowsky
1159,Comdet
1160,Ashbacher
1161,Grove
1162,Comdet
1163,Vision
1164,Taylor
1165,Lawyeraau
1166,CFH
1167,Riley
1168,Lee
1169,Taylor
1170,Corn
1171,Comdet
1172,Chachra
1173,Goonan
1174,Cholette
1175,Ashbacher
1176,Merritt
1177,Grove
1178,Agresti
1179,Shea
1180,Brown
1181,Goonan
1182,Auken
1183,Robert
1184,Kolln
1185,Brody
1186,Peterson
1187,Peterson
1188,Ashbacher
1189,Messick
1190,Shea
1191,Chachra
1192,Neal
1193,Johnson
1194,Messick
1195,Kolln
1196,Chell
1197,Bukowsky
1198,Riley
1199,Shea
1200,Mahlers2nd
1201,Messick
1202,Morrison
1203,Blankenship
1204,Merritt
1205,Cholette
1206,Messick
1207,Bukowsky
1208,Agresti
1209,Koenig
1210,Sherwin
1211,CFH
1212,CFH
1213,Bukowsky
1214,Davisson
1215,Bukowsky
1216,Riley
1217,Harp
1218,Engineer
1219,Comdet
1220,Mahlers2nd
1221,Vernon
1222,Wilson
1223,Neal
1224,Blankenship
1225,Harp
1226,Ashbacher
1227,Walters
1228,Janson
1229,Mahlers2nd
1230,Sherwin
1231,Cutey
1232,CFH
1233,Ashbacher
1234,Power
1235,Brown
1236,Chandler
1237,Davisson
1238,Power
1239,Mahlers2nd
1240,Shea
1241,Chell
1242,Brown
1243,McKee
1244,Goonan
1245,Merritt
1246,Dent
1247,Mitchell
1248,Shea
1249,Merritt
1250,Wilson
1251,Bukowsky
1252,Brody
1253,McKee
1254,Sherwin
1255,Goonan
1256,Corn
1257,Brown
1258,Janson
1259,Chachra
1260,Kolln
1261,McKee
1262,Mahlers2nd
1263,Mark
1264,Corn
1265,Kolln
1266,Comdet
1267,Bukowsky
1268,Merritt
1269,Davisson
1270,Sherwin
1271,Auken
1272,Bukowsky
1273,Blankenship
1274,Hayes
1275,Brown
1276,Merritt
1277,Bukowsky
1278,Mark
1279,Chell
1280,Cutey
1281,Mahlers2nd
1282,Davisson
1283,Chachra
1284,Messick
1285,Chandler
1286,Mark
1287,Taylor
1288,Cholette
1289,Davisson
1290,Mahlers2nd
1291,Johnson
1292,Bukowsky
1293,Robert
1294,Grove
1295,Sherwin
1296,Walters
1297,Riley
1298,Mahlers2nd
1299,Mahlers2nd
1300,Chachra
1301,Chandler
1302,Morrison
1303,Sherwin
1304,Kolln
1305,Walters
1306,Davisson
1307,Morrison
1308,Bukowsky
1309,Agresti
1310,Corn
1311,Mark
1312,Chandler
1313,Engineer
1314,Agresti
1315,McKee
1316,Merritt
1317,Comdet
1318,Goonan
1319,Walters
1320,Mitchell
1321,Chandler
1322,Koenig
1323,Grove
1324,Vernon
1325,Ashbacher
1326,Brown
1327,Mahlers2nd
1328,Agresti
1329,Neal
1330,Morrison
1331,Cholette
1332,Merritt
1333,Kolln
1334,Sherwin
1335,Ashbacher
1336,Kolln
1337,Calvinnme
1338,Merritt
1339,Comdet
1340,Kolln
1341,Harp
1342,Walters
1343,Mark
1344,McKee
1345,Corn
1346,McKee
1347,Johnson
1348,Walters
1349,Hayes
1350,Chell
1351,Auken
1352,Davisson
1353,Taylor
1354,Power
1355,Grove
1356,Comdet
1357,Messick
1358,Koenig
1359,Corn
1360,Hayes
1361,Lawyeraau
1362,McKee
1363,Cutey
1364,Taylor
1365,Grove
1366,Ashbacher
1367,Koenig
1368,Kolln
1369,Mitchell
1370,Grove
1371,Johnson
1372,Nigam
1373,Calvinnme
1374,Hayes
1375,Mitchell
1376,Janson
1377,Morrison
1378,Brody
1379,Vernon
1380,Vernon
1381,Peterson
1382,Engineer
1383,Power
1384,Calvinnme
1385,Bukowsky
1386,Engineer
1387,McKee
1388,Johnson
1389,McKee
1390,CFH
1391,Wilson
1392,Shea
1393,Chachra
1394,Ashbacher
1395,Chachra
1396,Taylor
1397,Janson
1398,Mitchell
1399,McKee
1400,Morrison
1401,Chandler
1402,Merritt
1403,Lawyeraau
1404,Agresti
1405,Mark
1406,Davisson
1407,Johnson
1408,Cutey
1409,Hayes
1410,Taylor
1411,Grove
1412,Bukowsky
1413,Comdet
1414,Robert
1415,Agresti
1416,Mark
1417,Kolln
1418,Robert
1419,Engineer
1420,Comdet
1421,Agresti
1422,CFH
1423,Shea
1424,Mitchell
1425,Vernon
1426,CFH
1427,Engineer
1428,Messick
1429,Power
1430,Harp
1431,Chachra
1432,Vernon
1433,Bukowsky
1434,Hayes
1435,Johnson
1436,Sherwin
1437,Robert
1438,Cutey
1439,Mark
1440,Cutey
1441,Morrison
1442,Chandler
1443,Wilson
1444,Ashbacher
1445,Messick
1446,Lawyeraau
1447,Mark
1448,McKee
1449,Wilson
1450,Shea
1451,Goonan
1452,Messick
1453,Lawyeraau
1454,Ashbacher
1455,Vision
1456,Davisson
1457,Vernon
1458,Mahlers2nd
1459,Johnson
1460,Koenig
1461,Ashbacher
1462,Goonan
1463,Comdet
1464,CFH
1465,Ashbacher
1466,Mahlers2nd
1467,Wilson
1468,Lawyeraau
1469,Kolln
1470,Power
1471,Blankenship
1472,Peterson
1473,Hayes
1474,Auken
1475,Blankenship
1476,Chachra
1477,Goonan
1478,Engineer
1479,Taylor
1480,Kolln
1481,Hayes
1482,Goonan
1483,Peterson
1484,Brown
1485,Cutey
1486,Power
1487,Shea
1488,Walters
1489,Kolln
1490,Cutey
1491,Shea
1492,Chandler
1493,Kolln
1494,Chachra
1495,Janson
1496,Morrison
1497,Corn
1498,Morrison
1499,Agresti
